<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/10/18,15:08,114190.0,114290.0,114190.0,114270.0,979
SPFB.RTS-12.18,1,18/10/18,15:09,114270.0,114290.0,114250.0,114260.0,505
SPFB.RTS-12.18,1,18/10/18,15:10,114270.0,114270.0,114220.0,114250.0,458
SPFB.RTS-12.18,1,18/10/18,15:11,114250.0,114300.0,114250.0,114280.0,246
SPFB.RTS-12.18,1,18/10/18,15:12,114290.0,114360.0,114280.0,114340.0,603
SPFB.RTS-12.18,1,18/10/18,15:13,114340.0,114360.0,114300.0,114320.0,317
SPFB.RTS-12.18,1,18/10/18,15:14,114320.0,114360.0,114320.0,114360.0,271
SPFB.RTS-12.18,1,18/10/18,15:15,114350.0,114380.0,114340.0,114350.0,608
SPFB.RTS-12.18,1,18/10/18,15:16,114360.0,114390.0,114350.0,114390.0,419
SPFB.RTS-12.18,1,18/10/18,15:17,114390.0,114410.0,114290.0,114310.0,610
SPFB.RTS-12.18,1,18/10/18,15:18,114310.0,114330.0,114280.0,114320.0,426
SPFB.RTS-12.18,1,18/10/18,15:19,114320.0,114330.0,114300.0,114320.0,269
SPFB.RTS-12.18,1,18/10/18,15:20,114330.0,114370.0,114330.0,114360.0,484
SPFB.RTS-12.18,1,18/10/18,15:21,114360.0,114370.0,114340.0,114340.0,249
SPFB.RTS-12.18,1,18/10/18,15:22,114360.0,114380.0,114340.0,114380.0,198
SPFB.RTS-12.18,1,18/10/18,15:23,114380.0,114400.0,114380.0,114390.0,161
SPFB.RTS-12.18,1,18/10/18,15:24,114390.0,114410.0,114360.0,114380.0,266
SPFB.RTS-12.18,1,18/10/18,15:25,114380.0,114400.0,114360.0,114370.0,209
SPFB.RTS-12.18,1,18/10/18,15:26,114370.0,114370.0,114320.0,114340.0,393
SPFB.RTS-12.18,1,18/10/18,15:27,114340.0,114370.0,114330.0,114360.0,126
SPFB.RTS-12.18,1,18/10/18,15:28,114370.0,114440.0,114360.0,114420.0,389
SPFB.RTS-12.18,1,18/10/18,15:29,114420.0,114440.0,114420.0,114430.0,156
SPFB.RTS-12.18,1,18/10/18,15:30,114440.0,114440.0,114400.0,114410.0,215
SPFB.RTS-12.18,1,18/10/18,15:31,114400.0,114420.0,114350.0,114360.0,248
SPFB.RTS-12.18,1,18/10/18,15:32,114360.0,114390.0,114360.0,114390.0,77
SPFB.RTS-12.18,1,18/10/18,15:33,114390.0,114400.0,114360.0,114370.0,148
SPFB.RTS-12.18,1,18/10/18,15:34,114370.0,114370.0,114300.0,114310.0,435
SPFB.RTS-12.18,1,18/10/18,15:35,114310.0,114390.0,114300.0,114390.0,394
SPFB.RTS-12.18,1,18/10/18,15:36,114390.0,114420.0,114380.0,114420.0,237
SPFB.RTS-12.18,1,18/10/18,15:37,114420.0,114420.0,114340.0,114350.0,335
SPFB.RTS-12.18,1,18/10/18,15:38,114360.0,114360.0,114310.0,114330.0,271
SPFB.RTS-12.18,1,18/10/18,15:39,114330.0,114360.0,114310.0,114360.0,150
SPFB.RTS-12.18,1,18/10/18,15:40,114350.0,114380.0,114310.0,114340.0,256
SPFB.RTS-12.18,1,18/10/18,15:41,114330.0,114340.0,114260.0,114270.0,524
SPFB.RTS-12.18,1,18/10/18,15:42,114270.0,114300.0,114250.0,114260.0,446
SPFB.RTS-12.18,1,18/10/18,15:43,114270.0,114280.0,114170.0,114210.0,1427
SPFB.RTS-12.18,1,18/10/18,15:44,114210.0,114230.0,114170.0,114170.0,1025
SPFB.RTS-12.18,1,18/10/18,15:45,114180.0,114210.0,114160.0,114210.0,614
SPFB.RTS-12.18,1,18/10/18,15:46,114190.0,114190.0,114170.0,114170.0,204
SPFB.RTS-12.18,1,18/10/18,15:47,114170.0,114260.0,114170.0,114250.0,511
SPFB.RTS-12.18,1,18/10/18,15:48,114260.0,114270.0,114200.0,114260.0,458
SPFB.RTS-12.18,1,18/10/18,15:49,114250.0,114290.0,114210.0,114220.0,322
SPFB.RTS-12.18,1,18/10/18,15:50,114230.0,114240.0,114190.0,114200.0,304
SPFB.RTS-12.18,1,18/10/18,15:51,114200.0,114210.0,114160.0,114190.0,513
SPFB.RTS-12.18,1,18/10/18,15:52,114190.0,114190.0,114150.0,114170.0,426
SPFB.RTS-12.18,1,18/10/18,15:53,114170.0,114190.0,114120.0,114120.0,578
SPFB.RTS-12.18,1,18/10/18,15:54,114130.0,114140.0,114060.0,114120.0,1500
SPFB.RTS-12.18,1,18/10/18,15:55,114100.0,114110.0,114070.0,114090.0,416
SPFB.RTS-12.18,1,18/10/18,15:56,114090.0,114180.0,114080.0,114160.0,922
SPFB.RTS-12.18,1,18/10/18,15:57,114160.0,114190.0,114140.0,114150.0,239
SPFB.RTS-12.18,1,18/10/18,15:58,114180.0,114270.0,114170.0,114210.0,813
SPFB.RTS-12.18,1,18/10/18,15:59,114210.0,114230.0,114190.0,114210.0,195
SPFB.RTS-12.18,1,18/10/18,16:00,114230.0,114230.0,114190.0,114220.0,389
